ICO|Informed Consent Ontology|0
GEOSPECIES|GeoSpecies Ontology|0
TEO|Time Event Ontology|0
TMO|Translational Medicine Ontology|0
HEIO|Regional Healthcare System Interoperability and Information Exchange Measurement Ontology|0
IDO|Infectious Disease Ontology|7
FB-CV|FlyBase Controlled Vocabulary|0
NIFDYS|Neuroscience Information Framework (NIF) Dysfunction Ontology|0
ONTOAD|Bilingual Ontology of Alzheimer's Disease and Related Diseases|0
TMA|Tissue Microarray Ontology|0
HIVO004|HIVOntologymain.owl|0
SIO|Semanticscience Integrated Ontology|0
PSIMOD|Protein Modification Ontology|0
RPO|Resource of Asian Primary Immunodeficiency Diseases (RAPID) Phenotype Ontology|0
BIRNLEX|Biomedical Informatics Research Network Project Lexicon|0
PW|Pathway Ontology|9
OGSF|Ontology for Genetic Susceptibility Factor|0
OBOREL|Open Biological and Biomedical Ontologies Relationship Types|0
PHENOMEBLAST|PhenomeBLAST Ontology|0
OPL|Ontology for Parasite LifeCycle|0
BP-METADATA|BioPortal Metadata Ontology|0
EDDA|EDDA Study Design Terminology|0
TESTONTO|test_onto Ontology|0
AURA|KB_Bio_101 Ontology|0
GFO-BIO|General Formal Ontology for Biology|0
FHHO|Family Health History Ontology|0
ONTODM-KDD|Ontology of Data Mining Investigations|0
OGMS|Ontology for General Medical Science|0
BRO|Biomedical Resource Ontology|0
APAONTO|Psychology Ontology|0
PTO|Plant Trait Ontology|0
MEDO|Mouse Experimental Design Ontology|0
COGAT|Cognitive Atlas Ontology|0
HL7|Health Level Seven Reference Implementation Model|0
COGPO|Cognitive Paradigm Ontology|4
AAO|Amphibian Gross Anatomy Ontology|0
CANONT|Upper-Level Cancer Ontology |0
CCONT|Cell Culture Ontology|0
ONTOKBCF|Ontological Knowledge Base Model for Cystic Fibrosis|0
EPILONT|Epilepsy Ontology|2
EFO|Experimental Factor Ontology|5
TM-OTHER-FACTORS|Traditional Medicine Other Factors Value Set|0
RB|RegenBase ontology|0
GENE-CDS|Genomic Clinical Decision Support Ontology|0
ICF|International Classification of Functioning, Disability and Health|403
LHN|Loggerhead Nesting Ontology|0
PEO|Parasite Experiment Ontology|0
VARIO|Variation Ontology|0
OGMD|Ontology of Glucose Metabolism Disorder|0
OCRE|Ontology of Clinical Research|0
TM-SIGNS-AND-SYMPTS|Traditional Medicine Signs and Symptoms Value Set|0
FIRE|Fire Ontology|0
NTDO|Neglected Tropical Disease Ontology|0
GLYCO|Glycomics Ontology|0
RCTONT|Randomized Controlled Trials Ontology|0
OPB|Ontology of Physics for Biology|0
PAE|Plant Anatomy Ontology|0
HIV|HIV Ontology|0
SPD|Spider Ontology|0
CANCO|Cancer Chemoprevention Ontology|0
OMRSE|Ontology of Medically Related Social Entities|0
TRAK|Taxonomy for Rehabilitation of Knee Conditions|0
DDI|Ontology for Drug Discovery Investigations|0
MEDDRA|Medical Dictionary for Regulatory Activities|98
SITBAC|Situation-Based Access Control Ontology|0
REX|Physico-Chemical Process Ontology|0
NMR|NMR-Instrument Component of Metabolomics Investigations Ontology|0
SuicidO|suicideo Ontology|0
TOP-MENELAS|Menelas Project Top-Level Ontology|0
CDAO|Comparative Data Analysis Ontology|0
BHN|Biologie Hors Nomenclature|0
TGMA|Mosquito Gross Anatomy Ontology|0
IXNO|Interaction Ontology|6
NDDF|National Drug Data File|1
FLU|Influenza Ontology|0
MEO|Metagenome and Microbes Environmental Ontology|0
ICD9CM|ICD9CM|19
CCON|Cerrado concepts and plant community dynamics Ontology|0
ICNP|International Classification for Nursing Practice|106
PR|Protein Ontology|19
BIOMODELS|BioModels Ontology|0
BDO|Bone Dysplasia Ontology|1
BAO-GPCR|G Protein-Coupled Receptor BioAssays Ontology|0
NIHSS|National Institutes of Health Stroke Scale Ontology|0
OBIWS|Bioinformatics Web Service Ontology|0
MAT|Minimal Anatomical Terminology|0
MSTDE-FRE|Minimal Standard Terminology of Digestive Endoscopy, French|0
TM-CONST|Traditional Medicine Constitution Value Set|0
PMR|Physical Medicine and Rehabilitation Ontology|0
SSE|Surgical Secondary Events Ontology|0
CHEBI|Chemical Entities of Biological Interest Ontology|0
FAO|Fungal Gross Anatomy Ontology|0
QUDT|Quantities, Units, Dimensions, and Types Ontology|0
ONTODM-CORE|Ontology of Core Data Mining Entities|0
RNRMU|RNRMU|0
BCO|Biological Collections Ontology|0
MMO|Measurement Method Ontology|0
TADS|Tick Gross Anatomy Ontology|0
DCM|DICOM Controlled Terminology|0
PATHLEX|Anatomic Pathology Lexicon|0
XAO|Xenopus Anatomy and Development Ontology|0
ERO|Eagle-I Research Resource Ontology|0
WB-PHENOTYPE|C. elegans Phenotype Vocabulary|0
EDAM|EDAM Ontology|0
CNO|Computational Neuroscience Ontology|0
ASDPTO|Autism Spectrum Disorder Phenotype Ontology|0
TYPON|Microbial Typing Ontology|0
CHEMINF|Chemical Information Ontology|0
GFO|General Formal Ontology|0
FBbi|Biological Imaging Methods Ontology|0
RS|Rat Strain Ontology|1
DOID|Human Disease Ontology|7
CAO|Clusters of Orthologous Groups (COG) Analysis Ontology|0
EHDA|Human Developmental Anatomy Ontology|0
CHD|Congenital Heart Defects Ontology|0
NGSONTO|NGS ontology|0
MIXSCV|Minimal Information about any Sequence (MIxS) Controlled Vocabularies|0
OAE|Ontology of Adverse Events|5
ICPC2P|International Classification of Primary Care|215
RSA|Reference Sequence Annotation Ontology|0
PHARMGKB|PharmGKB Ontology|0
PHARE|Pharmacogenomic Relationships Ontology|0
XEO|XEML Environment Ontology|0
RH-MESH|Robert Hoehndorf Version of MeSH|0
TRON|Tribolium Ontology|0
GRO-CPGA|Cereal Plant Gross Anatomy Ontology|0
HUGO|Human Genome Organization Gene Symbols Ontology|0
AMINO-ACID|Amino Acid Ontology|0
SPTO|Solanaceae Phenotype Ontology|0
WHO-ART|World Health Organization (WHO) Adverse Reaction Terminology|0
BHO|Bleeding History Phenotype Ontology|0
MP|Mammalian Phenotype Ontology|22
BP|BioPAX Ontology of Biological Pathways|0
MCCV|Microbial Culture Collection Vocabulary|0
NCIT|National Cancer Institute Thesaurus|11
AI-RHEUM|Artificial Intelligence Rheumatology Consultant System Ontology|0
MDDB|Master Drug Data Base Clinical Drugs|0
COSTART|Coding Symbols for a Thesaurus of Adverse Reaction Terms|0
SPO|Skin Physiology Ontology|0
MO|Microarray and Gene Expression Data Ontology|0
NONRCTO|Non-Randomized Controlled Trials Ontology|0
OntoVIP|Medical image simulation Ontology|0
ADO|Alzheimer's disease ontology|1
REXO|Regulation of Gene Expression Ontology|0
BCTEO|Bone and Cartilage Tissue Engineering Ontology|0
IDODEN|Dengue Fever Ontology|0
LOINC|Logical Observation Identifier Names and Codes|23
OGDI|Ontology for Genetic Disease Investigations|0
DPO|Diabetes phenotypes ontology (ALPHA VERSION)|0
pseudo|Pseudogene Ontology|0
MPATH|Mouse Pathology Ontology|0
HUPSON|Human Physiology Simulation Ontology|0
IMGT-ONTOLOGY|Immunogenetics Ontology|0
IMMDIS|Immune Disorder Ontology|0
OMIT|Ontology for MicroRNA Target Prediction|0
MESH|Medical Subject Headings|1142
BIOMO|Biological Observation Matrix Ontology|0
RNAO|RNA Ontology|0
VO|Vaccine Ontology|20
SEDI|Semantic DICOM Ontology|0
CLO|Cell Line Ontology|0
MCCL|Mahadevan Cell Line Ontology|0
OGR|Ontology of Geographical Region|0
ZFA|Zebrafish Anatomy and Development Ontology|0
HCPCS|Healthcare Common Procedure Coding System|92
ICD10CM|ICD10CM|1
FIX|Physico-Chemical Methods and Properties Ontology|0
FB-DV|Drosophila Development Ontology|0
HAO|Hymenoptera Anatomy Ontology|10
ICD10PCS|ICD10PCS|0
PSDS|Plant Structure Development Stage Ontology|0
LIPRO|Lipid Ontology|4
CMO|Clinical Measurement Ontology|0
OVAE|Ontology of Vaccine Adverse Events|0
MSV|Metagenome Sample Vocabulary Ontology|0
ICD10|ICD10|273
ENVO|Environment Ontology|4
RXNORM|RxNORM|65
CRISP|Computer Retrieval of Information on Scientific Projects Thesaurus|0
BTO|BRENDA Tissue and Enzyme Source Ontology|0
GRO|Gene Regulation Ontology|2
IDOMAL|Malaria Ontology|3
CL|Cell Ontology|12
TTO|Teleost Taxonomy Ontology|0
CPTAC|CPTAC Proteomics Pipeline Infrastructure Ontology|0
HINO|Human Interaction Network Ontology|0
TAXRANK|Taxonomic Rank Vocabulary|0
VHOG|Vertebrate Homologous Organ Group Ontology|0
CABRO|Computer Assisted Brain Injury Rehabilitation Ontology|0
WSIO|Web-Service Interaction Ontology|0
HRDO|Disease core ontology applied to Rare Diseases|0
PATO|Phenotypic Quality Ontology|4
CTCAE|Common Terminology Criteria for Adverse Events|794
APO|Ascomycete Phenotype Ontology|0
NCBITAXON|National Center for Biotechnology Information (NCBI) Organismal Classification|0
PPIO|Protein-Protein Interaction Ontology|0
NIFSUBCELL|Neuroscience Information Framework (NIF) Subcellular Ontology|0
MSTDE|Minimal Standard Terminology of Digestive Endoscopy|0
SNOMEDCT|Systematized Nomenclature of Medicine Clinical Terms|52
ONTODT|Ontology of General Purpose Datatypes|0
NIFSTD|Neuroscience Information Framework (NIF) Standard Ontology|0
SOY|Soy Ontology|0
LDA|Ontology of Language Disorder in Autism|0
NEUMORE|Neural Motor Recovery Ontology|0
SWO|Software Ontology|2
OBCS|Ontology of Biological and Clinical Statistics|0
MEGO|Mobile Genetic Element Ontology|0
MIRNAO|MicroRNA Ontology|0
FB-SP|Fly Taxonomy|0
RADLEX|Radiology Lexicon|8
